Official Election Results
Solano
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"46284 - BT-1","STATE PROPOSITION 50","YES","154","54.69%"
"46284 - BT-1","STATE PROPOSITION 50","NO","114","54.69%"
"46320 - BT-1","STATE PROPOSITION 50","NO","903","53.86%"
"46320 - BT-1","STATE PROPOSITION 50","YES","897","53.86%"
"46380 - BT-1","STATE PROPOSITION 50","YES","660","44.74%"
"46380 - BT-1","STATE PROPOSITION 50","NO","434","44.74%"
"46400 - BT-1","STATE PROPOSITION 50","YES","837","55.85%"
"46400 - BT-1","STATE PROPOSITION 50","NO","570","55.85%"
"49120 - BT-1","STATE PROPOSITION 50","NO","305","65.90%"
"49120 - BT-1","STATE PROPOSITION 50","YES","179","65.90%"
"49210 - BT-1","STATE PROPOSITION 50","NO","283","61.34%"
"49210 - BT-1","STATE PROPOSITION 50","YES","155","61.34%"
"49220 - BT-1","STATE PROPOSITION 50","NO","121","51.70%"
"49220 - BT-1","STATE PROPOSITION 50","YES","60","51.70%"
"49240 - BT-1","STATE PROPOSITION 50","NO","11","42.31%"
"49240 - BT-1","STATE PROPOSITION 50","YES","11","42.31%"
"49711 - BT-1","STATE PROPOSITION 50","NO","57","64.86%"
"49711 - BT-1","STATE PROPOSITION 50","YES","15","64.86%"
"49730 - BT-1","STATE PROPOSITION 50","NO","99","73.76%"
"49730 - BT-1","STATE PROPOSITION 50","YES","50","73.76%"
"49733 - BT-1","STATE PROPOSITION 50","NO","350","61.84%"
"49733 - BT-1","STATE PROPOSITION 50","YES","208","61.84%"
"49740 - BT-1","STATE PROPOSITION 50","NO","726","63.87%"
"49740 - BT-1","STATE PROPOSITION 50","YES","413","63.87%"
"49749 - BT-1","STATE PROPOSITION 50","NO","99","61.70%"
"49749 - BT-1","STATE PROPOSITION 50","YES","46","61.70%"
"49760 - BT-1","STATE PROPOSITION 50","NO","72","55.28%"
"49760 - BT-1","STATE PROPOSITION 50","YES","17","55.28%"
"49780 - BT-1","STATE PROPOSITION 50","NO","176","66.50%"
"49780 - BT-1","STATE PROPOSITION 50","YES","93","66.50%"
"49900 - BT-1","STATE PROPOSITION 50","NO","215","62.02%"
"49900 - BT-1","STATE PROPOSITION 50","YES","185","62.02%"
"53005 - BT-1","STATE PROPOSITION 50","YES","1148","47.44%"
"53005 - BT-1","STATE PROPOSITION 50","NO","549","47.44%"
"53007 - BT-1","STATE PROPOSITION 50","YES","886","38.56%"
"53007 - BT-1","STATE PROPOSITION 50","NO","307","38.56%"
"53035 - BT-1","STATE PROPOSITION 50","YES","1050","46.16%"
"53035 - BT-1","STATE PROPOSITION 50","NO","489","46.16%"
"53070 - BT-1","STATE PROPOSITION 50","YES","847","51.64%"
"53070 - BT-1","STATE PROPOSITION 50","NO","441","51.64%"
"53080 - BT-1","STATE PROPOSITION 50","YES","1085","49.49%"
"53080 - BT-1","STATE PROPOSITION 50","NO","521","49.49%"
"53100 - BT-1","STATE PROPOSITION 50","YES","1269","48.48%"
"53100 - BT-1","STATE PROPOSITION 50","NO","630","48.48%"
"53140 - BT-1","STATE PROPOSITION 50","YES","785","61.56%"
"53140 - BT-1","STATE PROPOSITION 50","NO","553","61.56%"
"54005 - BT-1","STATE PROPOSITION 50","NO","858","53.63%"
"54005 - BT-1","STATE PROPOSITION 50","YES","611","53.63%"
"54020 - BT-1","STATE PROPOSITION 50","YES","1253","75.80%"
"54020 - BT-1","STATE PROPOSITION 50","NO","631","75.80%"
"54025 - BT-1","STATE PROPOSITION 50","YES","1581","83.08%"
"54025 - BT-1","STATE PROPOSITION 50","NO","825","83.08%"
"55025 - BT-1","STATE PROPOSITION 50","YES","862","47.98%"
"55025 - BT-1","STATE PROPOSITION 50","NO","427","47.98%"
"56015 - BT-1","STATE PROPOSITION 50","YES","767","72.30%"
"56015 - BT-1","STATE PROPOSITION 50","NO","660","72.30%"
"56020 - BT-1","STATE PROPOSITION 50","NO","993","63.05%"
"56020 - BT-1","STATE PROPOSITION 50","YES","956","63.05%"
"56065 - BT-1","STATE PROPOSITION 50","YES","18","55.32%"
"56065 - BT-1","STATE PROPOSITION 50","NO","8","55.32%"
"56107 - BT-1","STATE PROPOSITION 50","YES","505","47.43%"
"56107 - BT-1","STATE PROPOSITION 50","NO","399","47.43%"
"56125 - BT-1","STATE PROPOSITION 50","YES","1031","52.20%"
"56125 - BT-1","STATE PROPOSITION 50","NO","874","52.20%"
"56130 - BT-1","STATE PROPOSITION 50","YES","1092","52.84%"
"56130 - BT-1","STATE PROPOSITION 50","NO","928","52.84%"
"56150 - BT-1","STATE PROPOSITION 50","NO","163","48.48%"
"56150 - BT-1","STATE PROPOSITION 50","YES","124","48.48%"
"56190 - BT-1","STATE PROPOSITION 50","NO","1008","57.93%"
"56190 - BT-1","STATE PROPOSITION 50","YES","973","57.93%"
"56200 - BT-1","STATE PROPOSITION 50","YES","607","50.16%"
"56200 - BT-1","STATE PROPOSITION 50","NO","338","50.16%"
"56205 - BT-1","STATE PROPOSITION 50","YES","950","51.89%"
"56205 - BT-1","STATE PROPOSITION 50","NO","842","51.89%"
"56240 - BT-1","STATE PROPOSITION 50","NO","348","57.65%"
"56240 - BT-1","STATE PROPOSITION 50","YES","347","57.65%"
"59150 - BT-1","STATE PROPOSITION 50","NO","8","70.59%"
"59150 - BT-1","STATE PROPOSITION 50","YES","3","70.59%"
"59300 - BT-1","STATE PROPOSITION 50","NO","76","52.22%"
"59300 - BT-1","STATE PROPOSITION 50","YES","30","52.22%"
"59340 - BT-1","STATE PROPOSITION 50","NO","57","39.84%"
"59340 - BT-1","STATE PROPOSITION 50","YES","43","39.84%"
"59400 - BT-1","STATE PROPOSITION 50","NO","41","51.18%"
"59400 - BT-1","STATE PROPOSITION 50","YES","24","51.18%"
"59410 - BT-1","STATE PROPOSITION 50","NO","17","64.00%"
"59410 - BT-1","STATE PROPOSITION 50","YES","15","64.00%"
"59500 - BT-1","STATE PROPOSITION 50","NO","31","55.10%"
"59500 - BT-1","STATE PROPOSITION 50","YES","23","55.10%"
"59545 - BT-1","STATE PROPOSITION 50","YES","20","48.65%"
"59545 - BT-1","STATE PROPOSITION 50","NO","16","48.65%"
"59600 - BT-1","STATE PROPOSITION 50","NO","5","66.67%"
"59600 - BT-1","STATE PROPOSITION 50","YES","5","66.67%"
"59625 - BT-1","STATE PROPOSITION 50","NO","3","60.00%"
"59625 - BT-1","STATE PROPOSITION 50","YES","0","60.00%"
"59700 - BT-1","STATE PROPOSITION 50","NO","79","55.06%"
"59700 - BT-1","STATE PROPOSITION 50","YES","57","55.06%"
"59730 - BT-1","STATE PROPOSITION 50","NO","27","42.67%"
"59730 - BT-1","STATE PROPOSITION 50","YES","5","42.67%"
"59740 - BT-1","STATE PROPOSITION 50","NO","97","51.77%"
"59740 - BT-1","STATE PROPOSITION 50","YES","64","51.77%"
