ELECTIONABBR	PRECINCTID	PRECINCTPORTION	VOTINGPRECINCT	MAILBALLOT	ABSENTEEPRECINCT	BALLOTTYPE
2025Nov   	59009  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59010  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59011  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59012  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59013  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59014  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59015  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59016  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59017  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59018  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59019  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59020  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59021  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59022  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59023  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59024  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59025  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59026  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59027  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59028  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59029  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59030  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59031  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59032  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59033  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59034  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59035  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59036  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59037  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59038  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59039  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59040  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59041  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59042  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59043  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59044  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59045  		1501    1501 - Hanford 1	0	8001501	1
