"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"19","0950178A","44","30","20","3","5843","0","0","0","0","0","0","0","0","0","3409","0","0","0","0","0","0","0","0","0","0","0","677","2731"
"19","0950189A","44","30","20","3","4771","0","0","0","0","0","0","0","0","0","2729","0","0","0","0","0","0","0","0","0","0","0","715","2013"
"19","0950190A","44","30","20","3","4260","0","0","0","0","0","0","0","0","0","2645","0","0","0","0","0","0","0","0","0","0","0","644","2001"
"19","1000015A","42","26","24","3","5670","0","0","0","0","0","0","0","0","0","2866","0","0","0","0","0","0","0","0","0","0","0","1069","1792"
"19","1000016A","42","26","24","3","5090","0","0","0","0","0","0","0","0","0","2839","0","0","0","0","0","0","0","0","0","0","0","981","1855"
"19","1000033A","42","26","24","3","6144","0","0","0","0","0","0","0","0","0","3219","0","0","0","0","0","0","0","0","0","0","0","1382","1834"
"19","1020007A","40","27","23","3","54","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","14","14"
"19","1020017A","40","27","23","3","254","0","0","0","0","0","0","0","0","0","147","0","0","0","0","0","0","0","0","0","0","0","89","58"
"19","1020019B","40","29","20","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","1020022A","40","27","20","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","1020244A","40","27","20","3","1385","0","0","0","0","0","0","0","0","0","632","0","0","0","0","0","0","0","0","0","0","0","298","334"
"19","1030003A","65","44","35","3","3578","0","0","0","0","0","0","0","0","0","1563","0","0","0","0","0","0","0","0","0","0","0","235","1326"
"19","1030010A","65","44","35","3","3668","0","0","0","0","0","0","0","0","0","2158","0","0","0","0","0","0","0","0","0","0","0","166","1992"
"19","1030013A","69","44","35","3","4373","0","0","0","0","0","0","0","0","0","1776","0","0","0","0","0","0","0","0","0","0","0","557","1218"
"19","1030014A","65","44","35","3","3614","0","0","0","0","0","0","0","0","0","1869","0","0","0","0","0","0","0","0","0","0","0","201","1666"
"19","1030020A","69","44","35","3","3885","0","0","0","0","0","0","0","0","0","1666","0","0","0","0","0","0","0","0","0","0","0","377","1285"
"19","1030028A","69","44","35","3","4185","0","0","0","0","0","0","0","0","0","1678","0","0","0","0","0","0","0","0","0","0","0","410","1267"
"19","1030031A","69","44","35","3","4338","0","0","0","0","0","0","0","0","0","1702","0","0","0","0","0","0","0","0","0","0","0","460","1242"
"19","1030038A","69","44","35","3","4322","0","0","0","0","0","0","0","0","0","1701","0","0","0","0","0","0","0","0","0","0","0","404","1296"
"19","1030039A","69","44","35","3","3974","0","0","0","0","0","0","0","0","0","1533","0","0","0","0","0","0","0","0","0","0","0","450","1082"
"19","1030044A","69","44","35","3","4437","0","0","0","0","0","0","0","0","0","1835","0","0","0","0","0","0","0","0","0","0","0","550","1284"
"19","1030058A","65","44","35","3","3973","0","0","0","0","0","0","0","0","0","1407","0","0","0","0","0","0","0","0","0","0","0","373","1034"
"19","1030071A","69","44","35","3","2268","0","0","0","0","0","0","0","0","0","839","0","0","0","0","0","0","0","0","0","0","0","198","640"
"19","1030081A","65","44","35","3","3656","0","0","0","0","0","0","0","0","0","1802","0","0","0","0","0","0","0","0","0","0","0","257","1545"
"19","1030083A","69","44","35","3","3507","0","0","0","0","0","0","0","0","0","1142","0","0","0","0","0","0","0","0","0","0","0","211","930"
"19","1030102A","65","44","35","3","3549","0","0","0","0","0","0","0","0","0","1976","0","0","0","0","0","0","0","0","0","0","0","173","1803"
"19","1030106A","65","44","35","3","3470","0","0","0","0","0","0","0","0","0","1875","0","0","0","0","0","0","0","0","0","0","0","159","1710"
"19","1030113A","69","44","35","3","3757","0","0","0","0","0","0","0","0","0","1416","0","0","0","0","0","0","0","0","0","0","0","322","1094"
"19","1040001A","34","27","23","3","5489","0","0","0","0","0","0","0","0","0","2878","0","0","0","0","0","0","0","0","0","0","0","1605","1270"
"19","1040003A","40","27","23","3","5705","0","0","0","0","0","0","0","0","0","2874","0","0","0","0","0","0","0","0","0","0","0","1350","1519"
"19","1040005A","40","27","23","3","182","0","0","0","0","0","0","0","0","0","72","0","0","0","0","0","0","0","0","0","0","0","49","23"
"19","1040006A","34","27","23","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","1040017B","40","27","23","3","5346","0","0","0","0","0","0","0","0","0","2991","0","0","0","0","0","0","0","0","0","0","0","1598","1391"
"19","1040025A","34","27","23","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","1060001A","55","36","28","3","361","0","0","0","0","0","0","0","0","0","167","0","0","0","0","0","0","0","0","0","0","0","27","140"
"19","1070004A","67","45","36","3","2652","0","0","0","0","0","0","0","0","0","1327","0","0","0","0","0","0","0","0","0","0","0","458","869"
"19","1070021A","67","45","36","3","5250","0","0","0","0","0","0","0","0","0","2483","0","0","0","0","0","0","0","0","0","0","0","863","1620"
"19","1070024A","67","45","36","3","5864","0","0","0","0","0","0","0","0","0","2527","0","0","0","0","0","0","0","0","0","0","0","912","1613"
"19","1070029A","67","45","36","3","5545","0","0","0","0","0","0","0","0","0","2588","0","0","0","0","0","0","0","0","0","0","0","878","1706"
"19","1070037A","67","45","36","3","5465","0","0","0","0","0","0","0","0","0","2474","0","0","0","0","0","0","0","0","0","0","0","861","1609"
"19","1070040A","67","45","36","3","5619","0","0","0","0","0","0","0","0","0","2724","0","0","0","0","0","0","0","0","0","0","0","1028","1693"
"19","1070041A","67","45","36","3","5905","0","0","0","0","0","0","0","0","0","2689","0","0","0","0","0","0","0","0","0","0","0","946","1734"
"19","1100002A","48","31","22","3","72","0","0","0","0","0","0","0","0","0","43","0","0","0","0","0","0","0","0","0","0","0","24","19"
