OFFICIAL ELECTION RESULTS
Imperial
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"389228MB","PROPOSITION 50","NO","0","0.00%"
"411102","PROPOSITION 50","YES","944","38.25%"
"411102","PROPOSITION 50","NO","681","38.25%"
"411105","PROPOSITION 50","NO","1207","43.68%"
"411105","PROPOSITION 50","YES","1120","43.68%"
"411110MB","PROPOSITION 50","YES","0","0.00%"
"411110MB","PROPOSITION 50","NO","0","0.00%"
"411117MB","PROPOSITION 50","YES","0","0.00%"
"411117MB","PROPOSITION 50","NO","0","0.00%"
"432019","PROPOSITION 50","YES","344","36.93%"
"432019","PROPOSITION 50","NO","235","36.93%"
"474117","PROPOSITION 50","YES","199","35.75%"
"474117","PROPOSITION 50","NO","101","35.75%"
"481101MB","PROPOSITION 50","NO","7","33.33%"
"481101MB","PROPOSITION 50","YES","0","33.33%"
"481116MB","PROPOSITION 50","YES","33","46.48%"
"481116MB","PROPOSITION 50","NO","33","46.48%"
"481137MB","PROPOSITION 50","NO","1","20.00%"
"481137MB","PROPOSITION 50","YES","0","20.00%"
"481141MB","PROPOSITION 50","NO","51","63.74%"
"481141MB","PROPOSITION 50","YES","7","63.74%"
"481142MB","PROPOSITION 50","YES","0","0.00%"
"481142MB","PROPOSITION 50","NO","0","0.00%"
"481162MB","PROPOSITION 50","YES","0","0.00%"
"481162MB","PROPOSITION 50","NO","0","0.00%"
"482008MB","PROPOSITION 50","YES","0","0.00%"
"482008MB","PROPOSITION 50","NO","0","0.00%"
"482009MB","PROPOSITION 50","YES","0","0.00%"
"482009MB","PROPOSITION 50","NO","0","0.00%"
"482010MB","PROPOSITION 50","YES","0","0.00%"
"482010MB","PROPOSITION 50","NO","0","0.00%"
"482011MB","PROPOSITION 50","YES","0","0.00%"
"482011MB","PROPOSITION 50","NO","0","0.00%"
"482012MB","PROPOSITION 50","YES","0","0.00%"
"482012MB","PROPOSITION 50","NO","0","0.00%"
"482018MB","PROPOSITION 50","NO","52","58.21%"
"482018MB","PROPOSITION 50","YES","26","58.21%"
"482024MB","PROPOSITION 50","NO","18","33.98%"
"482024MB","PROPOSITION 50","YES","17","33.98%"
"482025MB","PROPOSITION 50","NO","57","62.34%"
"482025MB","PROPOSITION 50","YES","39","62.34%"
"482026MB","PROPOSITION 50","NO","3","60.00%"
"482026MB","PROPOSITION 50","YES","0","60.00%"
"482027MB","PROPOSITION 50","YES","0","0.00%"
"482027MB","PROPOSITION 50","NO","0","0.00%"
"482028","PROPOSITION 50","YES","67","38.77%"
"482028","PROPOSITION 50","NO","40","38.77%"
"482029MB","PROPOSITION 50","YES","33","33.74%"
"482029MB","PROPOSITION 50","NO","22","33.74%"
"482030MB","PROPOSITION 50","YES","0","0.00%"
"482030MB","PROPOSITION 50","NO","0","0.00%"
"482031MB","PROPOSITION 50","YES","0","0.00%"
"482031MB","PROPOSITION 50","NO","0","0.00%"
"482040MB","PROPOSITION 50","NO","1","33.33%"
"482040MB","PROPOSITION 50","YES","0","33.33%"
"482041MB","PROPOSITION 50","YES","0","0.00%"
"482041MB","PROPOSITION 50","NO","0","0.00%"
